Scaramucci: Culture of fear inside White House,"Former White House Communications Director Anthony Scaramucci says there is a ""culture of fear"" inside the White House and predicts more staff departures.",Thu 01/03/2018 12:44:09,https://www.cnn.com/videos/politics/2018/03/01/anthony-scaramucci-john-kelly-culture-of-fear-newday.cnn,10
Girls braving the cold to meet 5 Seconds of Summer,Girls describe waiting 12 hours to see Australian boyband 5 Seconds of Summer.,Thu 01/03/2018 10:26:46,http://www.bbc.co.uk/news/entertainment-arts-43241756,9
It's snowing - can I refuse to go to work?,What are your legal rights if the weather means you are unable to make it into work?,Wed 28/02/2018 22:39:00,http://www.bbc.co.uk/news/business-43232498,6.9
Scenes of chaos as girls scrambled to escape Boko Haram capture,"A clock ticking in a deserted dorm room. A solitary slipper strewn across the red earth. A girl's headscarf on the grass, rippling in the breeze.",Thu 01/03/2018 13:06:55,https://www.cnn.com/2018/03/01/africa/dapchi-nigeria-boko-haram-intl/index.html,6.7
Westminster crash: Raids after suspected terror attack,Searches take place in Birmingham and Nottingham as a man is held after a crash outside Parliament.,Tue 14/08/2018 23:11:34,https://www.bbc.co.uk/news/uk-45189831,5.5
Russian spy: Military deployed after Russian spy poisoning,"Service personnel will help remove contaminated items, as ex-spy and his daughter remain critical.",Fri 09/03/2018 11:54:33,http://www.bbc.co.uk/news/uk-43344725,1.5
